Genetic Feature,Recurrent Gain Loss,Genes in Segment
cnaPANCAN415,loss,JMJD7-PLA2G4B
cnaPANCAN415,loss,KNSTRN
cnaPANCAN415,loss,LCMT2
cnaPANCAN415,loss,LRRC57
cnaPANCAN415,loss,LTK
cnaPANCAN415,loss,MAP1A
cnaPANCAN415,loss,MAPKBP1
cnaPANCAN415,loss,MFAP1
cnaPANCAN415,loss,MGA
cnaPANCAN415,loss,NDUFAF1
cnaPANCAN415,loss,NUSAP1
cnaPANCAN415,loss,OIP5
cnaPANCAN415,loss,PAK6
cnaPANCAN415,loss,PATL2
cnaPANCAN415,loss,PDIA3
cnaPANCAN415,loss,PHGR1
cnaPANCAN415,loss,PLA2G4B
cnaPANCAN415,loss,PLA2G4D
cnaPANCAN415,loss,PLA2G4E
cnaPANCAN415,loss,PLA2G4F
cnaPANCAN415,loss,PLCB2
cnaPANCAN415,loss,PPIP5K1
cnaPANCAN415,loss,PPP1R14D
cnaPANCAN415,loss,RAD51
cnaPANCAN415,loss,RHOV
cnaPANCAN415,loss,RMDN3
cnaPANCAN415,loss,RP11-133K1.2
cnaPANCAN415,loss,RP11-296A16.1
cnaPANCAN415,loss,RPAP1
cnaPANCAN415,loss,RPUSD2
cnaPANCAN415,loss,RTF1
cnaPANCAN415,loss,SERF2
cnaPANCAN415,loss,SERINC4
cnaPANCAN415,loss,SNAP23
cnaPANCAN415,loss,SPG11
cnaPANCAN415,loss,SPINT1
cnaPANCAN415,loss,SPTBN5
cnaPANCAN415,loss,SRP14
cnaPANCAN415,loss,STARD9
cnaPANCAN415,loss,STRC
cnaPANCAN415,loss,TGM5
cnaPANCAN415,loss,TGM7
cnaPANCAN415,loss,THBS1
cnaPANCAN415,loss,TMEM62
cnaPANCAN415,loss,TMEM87A
cnaPANCAN415,loss,TP53BP1
cnaPANCAN415,loss,TTBK2
cnaPANCAN415,loss,TUBGCP4
cnaPANCAN415,loss,TYRO3
cnaPANCAN415,loss,UBR1
cnaPANCAN415,loss,VPS18
cnaPANCAN415,loss,VPS39
cnaPANCAN415,loss,WDR76
cnaPANCAN415,loss,ZFYVE19
cnaPANCAN415,loss,ZNF106
cnaPANCAN415,loss,ZSCAN29
cnaPANCAN416,loss,SLC24A5
cnaPANCAN417,loss,HDC
cnaPANCAN418,loss,GNB5
cnaPANCAN419,loss,UNC13C
cnaPANCAN420,loss,FAM63B
cnaPANCAN421,loss,AAGAB
cnaPANCAN421,loss,RP11-342M21.2
cnaPANCAN421,loss,SMAD3
cnaPANCAN422,loss,TLE3
cnaPANCAN423,loss,LRRC49
cnaPANCAN423,loss,THAP10
cnaPANCAN424,loss,RP11-597K23.2
cnaPANCAN425,loss,LRRK1
